"filename", "language", "CSS", "JavaScript JSX", "XML", "JavaScript", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/blockchain/blockchain-integration/App.module.css", "CSS", 16, 0, 0, 0, 0, 0, 0, 4, 4, 24
"/Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/blockchain/blockchain-integration/page.jsx", "JavaScript JSX", 0, 93, 0, 0, 0, 0, 0, 2, 13, 108
"/Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/blockchain/blockchain-security/App.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/blockchain/blockchain-security/page.jsx", "JavaScript JSX", 0, 46, 0, 0, 0, 0, 0, 0, 7, 53
"/Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/blockchain/decentralizedIdentity/app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/blockchain/decentralizedIdentity/page.jsx", "JavaScript JSX", 0, 48, 0, 0, 0, 0, 0, 1, 6, 55
"/Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/blockchain/smart-contract/App.module.css", "CSS", 7, 0, 0, 0, 0, 0, 0, 4, 0, 11
"/Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/blockchain/smart-contract/page.jsx", "JavaScript JSX", 0, 59, 0, 0, 0, 0, 0, 1, 11, 71
"/Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/blockchain/token-development/page.jsx", "JavaScript JSX", 0, 45, 0, 0, 0, 0, 0, 1, 7, 53
"/Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/cloud/aws/App.module.css", "CSS", 38, 0, 0, 0, 0, 0, 0, 0, 7, 45
"/Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/cloud/aws/page.jsx", "JavaScript JSX", 0, 49, 0, 0, 0, 0, 0, 0, 9, 58
"/Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/cryptography/FHE/App.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/cryptography/FHE/page.jsx", "JavaScript JSX", 0, 53, 0, 0, 0, 0, 0, 1, 7, 61
"/Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/cryptography/RSA/App.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/cryptography/RSA/page.jsx", "JavaScript JSX", 0, 72, 0, 0, 0, 0, 0, 8, 11, 91
"/Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/cryptography/ZKP/App.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/cryptography/ZKP/page.jsx", "JavaScript JSX", 0, 54, 0, 0, 0, 0, 0, 5, 9, 68
"/Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/src/services/page.jsx", "JavaScript JSX", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/tailwind.config.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/Users/aleksandretsetskhladze/Desktop/Apegres/Apegres/vite.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 1, 2, 8
"Total", "-", 125, 1238, 93, 41, 6012, 5, 16, 62, 246, 7838
